Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
D,D,GRD,College of Arts and Sciences - Business Economics,Senior,Spring 2022,2037.0,1,0,0,0,1.0
B,B,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,1597.0,1,0,0,1,3.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,Spring 2022,1876.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,1811.0,1,0,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,Spring 2022,1743.0,0,1,0,1,3.3
C+,C+,GRD,Business Administration - Business Administration/History (Minor),Junior,Spring 2022,1382.0,0,1,0,1,2.3
A,A,GRD,Business Administration - Accounting/Business (Minor)/Mathematics (Minor),Senior,Spring 2022,1771.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,Spring 2022,2012.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1332.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,Spring 2022,1098.0,1,0,0,1,4.0
D-,D-,GRD,College of Arts and Sciences - Human Biology/Business (Minor),Senior,Spring 2022,1327.0,1,0,0,0,0.7
B+,B+,GRD,College of Arts and Sciences - Business Economics,Senior,Spring 2022,1254.0,1,0,0,0,3.3
C+,C+,GRD,College of Arts and Sciences - Mathematics/Business (Minor),Senior,Spring 2022,1289.0,1,0,0,0,2.3
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,1636.0,1,0,0,1,3.3
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,1160.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,Spring 2022,1468.0,1,0,0,0,4.0
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor)/Sociology (Minor),Senior,Spring 2022,1908.0,1,0,0,0,4.0
B-,B-,GRD,Business Administration - Business Administration,Senior,Spring 2022,1081.0,1,0,0,1,2.7
C,C,GRD,Business Administration - Business Administration,Senior,Spring 2022,1306.0,1,0,0,1,2.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,1709.0,1,0,0,1,4.0
C+,C+,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,Spring 2022,1184.0,1,0,0,1,2.3
A,A,GRD,College of Arts and Sciences - Human Biology/Business (Minor),Senior,Spring 2022,1673.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Public Policy (Minor),Senior,Spring 2022,1064.0,1,0,0,1,4.0
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,1624.0,1,0,0,1,3.7
A,A,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,Spring 2022,1968.0,1,0,0,0,4.0
A,A,GRD,Coll Engineering & Applied Sci - Computer Science/Business (Minor)/Mathematics (Minor),Senior,Spring 2022,2047.0,1,0,0,0,4.0
A,A,GRD,College of Arts and Sciences - Biology/Business (Minor),Senior,Spring 2022,1999.0,1,0,0,0,4.0
